strategy,failure_scenarios,reference_path_exposed_demands,reference_time_aware_at_risk_demands,model_reported_affected,model_reported_protected,model_reported_unprotected,model_reported_released,failure_model,failure_exposure_granularity,protection_timing_model,working_time,final_time,resource_units,normalized_link_epoch_resource,resource_per_reference_path_exposed,resource_per_reference_time_aware_at_risk,resource_metric,solver_status,solver_mip_gap,solver_objective_value,solver_objective_bound,solver_runtime,solver_solution_count,failure_time_epoch,detection_delay_epochs,recovery_start_epoch,note
No Protection,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,baseline only
Dedicated Protection,32,30,20,30,30,0,0,EXACT,per-demand path exposure,pre-planned protection,8.0,9.0,18,162,5.4,8.1,reserved backup link-epochs,OPTIMAL,5.82027935845375e-05,8902.779999999999,8902.26183333333,6.700844049453735,10,,,,pre-planned protection
Shared Protection,32,30,20,30,30,0,0,EXACT,per-demand path exposure,pre-planned protection,8.0,9.0,14,126,4.2,6.3,shared reserved backup link-epochs,OPTIMAL,0.0,8903.780000000002,8903.78,0.11771988868713379,10,,,,pre-planned protection
Deferred Protection,32,30,20,20,20,0,0,EXACT,fixed demand-link-epoch exposure,failure-time-aware deferred recovery,8.0,18.0,18,18,0.6,0.9,post-failure recovery link-epochs,OPTIMAL,0.0,8079.930000000009,8079.930000000009,0.9201631546020508,3,2,1,3,failure-time-aware deferred recovery
